7:302,616,29,508,861,1382,1023,239,901,3234
18:138,449,521,380,1622,4048,5581,2163,1510,2700
19:19480,17,302,654,76,616,58,8,866,84
36:654,616,29,70,322,861,873,94,1382,931
37:17,84,65,654,1239,296,508,301,138,899
41:356,58,138,101,4499,902,1023,901,402,1462
42:84,518,1102,131,58,2193,736,1009,3824,361
43:58,138,289,101,899,554,48,1187,1804,496
44:15,302,97,76,616,8,84,2338,354,301
45:347,4858,19829,11751,15580,14021,74038,11557,79096,65060
46:302,58,1102,508,289,61,554,94,1382,239
59:119,654,29,1102,138,899,61,1039,2139,1119
60:302,76,29,6011,162,1023,901,1462,45,891
69:813,58,354,508,138,559,361,289,101,899
70:899,239,48,1187,546,496,3,30,726,1362
94:322,119,302,29,1152,508,301,736,559,361
106:29,101,899,32,162,873,554,239,1109,2030
115:58,29,966,354,709,15,289,899,861,787
116:138,834,859,449,1164,1200,4880,4671,1784,380
142:58,84,29,296,1102,709,861,454,162,554
143:49245,86747,17,302,654,76,616,58,8,866
148:378,1405,138,94,1382,986,1023,901,5545,116
150:289,101,861,554,1804,1549,4174,5575,73,1231
156:568,301,787,239,356,999,7029,1089,3,774
161:1403,616,179,84,29,361,289,101,327,32
171:302,508,289,101,245,861,162,554,1382,239
172:1937,138,861,162,364,239,483,1217,1535,1140
174:20582,82864,90200,33107,103672,74620,4608,68438,17,873
177:29,873,931,1550,1140,3234,114,749,1476,1332
196:650,29,508,289,101,238,554,1119,1382,1023
202:302,58,1102,138,220,245,861,32,162,554
211:873,431,2583,481,7048,571,815,1339,4107,21380
217:17,1023,901,1126,4268,3841,2626,4697,4187,167
220:10178,186,22713,39446,40356,7649,64973,45641,866,58738
223:119,58,167,899,559,554,1119,239,2030,48
224:4797,17,15627,7126,68162,53543,24044,51115,45229,15846
225:353,138,15,32,1119,239,3476,1109,1187,96
228:650,568,254,3017,86,5514,7194,10039,3163,708
229:1410,58,508,361,101,2068,861,787,94,358
231:94,1382,239,901,378,119,1126,2904,3,179
232:77322,120622,60364,10261,78975,99135,37449,86134,109145,100265
238:61,94,1382,1344,1744,774,3250,357,4919,188
241:58,29,289,61,554,94,1382,239,402,1344
245:40012,81,17,302,654,76,616,58,8,866
249:302,29,3234,546,749,1499,1476,495,254,5117
250:285,302,3250,29,899,2031,787,1119,358,94
253:1551,678,1435,3789,189,176,8066,8011,1449,776
257:354,65,296,709,289,101,861,554,1550,1462
272:29,1102,239,3234,749,1476,495,1762,726,692
273:302,654,301,289,101,327,861,32,554,1109
288:616,116,29,5998,354,301,361,899,699,1119
290:138,94,1382,901,1126,2618,1832,179,449,3841
291:1050,10511,16625,16852,9581,5006,88,61772,4753,5347
292:58,138,361,289,1410,483,1462,1344,3234,1140
294:1102,289,101,899,363,861,554,48,97,1187
328:239,3,726,2868,395,1567,837,2361,5025,6284
331:302,3234,749,1476,813,495,1822,690,692,66
345:62840,29573,11401,1754,77581,17,302,654,76,616
361:29,364,239,45,3234,546,749,1476,1086,3
376:17,45,1140,3,194,3730,2868,395,1567,5553
384:654,616,301,289,101,554,483,1684,97,1804
401:58,29,354,1102,1009,899,32,554,239,356
402:302,3304,289,101,861,94,1382,239,3234,749
410:354,901,378,1126,1499,4755,179,3841,4187,834
448:616,58,518,138,289,101,245,94,1382,239
449:65,866,138,361,899,61,1039,2139,1119,94
450:65,302,654,5567,116,866,29,354,138,559
452:749,13523,5869,9250,23323,15250,69268,22576,81553,51765
476:398,8213,245,5117,5178,7959,4793,24568,3493,3482
488:1196,616,3304,1102,508,138,861,787,902,94
490:17,302,29,354,138,15,289,101,899,32
494:356,616,58,29,138,301,11,289,101,554
500:14750,12253,8861,4756,8197,5080,1912,4075,7795,21171
514:1109,2030,97,96,1549,8276,2848,209,610,3757
525:302,116,29,239,402,1187,3234,496,1476,3
535:17,29,1102,508,289,101,861,554,1382,239
536:97,302,813,29,508,899,1119,94,239,901
538:1102,394,1023,239,901,1126,999,3,294,179
539:29,508,138,899,61,861,32,1039,787,1119
564:65,97,518,508,709,289,861,32,873,554
582:1550,29,138,899,32,1119,1023,239,1109,1462
585:17,901,1126,1499,185,30,3841,1362,4187,22
590:29,101,861,554,2073,1023,239,356,483,2200
601:31717,27912,105155,90819,48912,90054,75023,121660,94414,121234
618:221,7806,15141,5157,11506,13206,7264,62001,13150,36526
624:3915,3864,3190,4966,8514,5827,6266,4485,5450,9368
627:9761,42376,51158,114599,77531,17,302,168,654,76
628:17,6526,21488,84119,39233,75280,65861,302,654,76
632:1937,76752,16386,52165,35960,9042,40478,79189,103249,36398
633:58,508,138,289,61,1039,873,554,94,364
634:4697,4967,559,367,2115,1600,4907,9916,22689,12332
646:500,546,1164,1913,2848,4880,3081,201,2008,1936
666:311,4671,7622,1340,1875,4510,10981,10192,16036,14955
667:1405,162,94,364,1382,483,2200,1140,429,353
669:14435,111861,17,302,168,654,76,616,719,58
678:76,65,901,1535,84,1102,861,787,720,378
680:65,58,29,138,101,289,559,554,483,1462
681:361,1410,116,1744,3599,1205,1951,827,2153,6411
682:866,508,709,44,873,94,1382,378,931,431
683:71448,69187,112536,45128,97127,17,302,654,76,616
684:1099,14754,574,877,1139,2103,7711,7180,7994,5111
715:12861,10722,14375,31045,7658,11946,23367,50042,4585,77110
716:32,1109,2030,96,331,209,7178,7010,454,855
741:301,61,364,1023,901,1803,1126,179,3841,834
750:1382,2200,866,2369,354,1102,138,559,322,32
754:17,356,58,70,709,289,101,32,787,65
756:285,289,101,554,1535,1217,3234,999,749,1804
757:470,4008,4816,1091,11535,11861,9598,4765,12915,9059
758:15,1109,356,407,736,32,162,4374,1140,96
763:354,84,29,289,101,554,45,3234,1140,1239
773:28635,3141,10256,7742,26219,13958,18491,31208,94677,45008
774:65,1245,302,76,116,521,518,508,138,301
775:58,1102,15,101,559,554,901,1109,931,1550
782:654,1825,508,61,1039,94,1023,239,901,1344
